hip,bibcode,nbmes,obsdate,qual,quality,velType,velValue,velValue_prec,remark,remarks,oidref,hipnospace
HIP   6653,2002ApJS..141..503N,,,,A,V  ,0.98,2.0,,,1393117,HIP6653
HIP   6856,2004A&A...418..989N,1.0,,,A,v  ,7.099999904632568,1.0,,,3181931,HIP6856
HIP   6856,2006A&A...460..695T,6.0,,,A,v  ,8.0,1.0,,,3181931,HIP6856
HIP   6856,2006AstL...32..759G,,,,A,V  ,7.3,2.0,,,3181931,HIP6856
HIP   6949,2013A&A...552A..64S,,,,A,z  ,15.796,3.0,,,3181908,HIP6949
HIP   6949,2006AstL...32..759G,,,,A,V  ,15.3,2.0,,,3181908,HIP6949
HIP   6949,2004A&A...418..989N,3.0,,,A,v  ,15.0,1.0,,,3181908,HIP6949
HIP   7080,2002ApJS..141..503N,,,,A,V  ,41.75,2.0,,,1316880,HIP7080
HIP   7080,2004A&A...418..989N,2.0,,,A,v  ,41.599998474121094,1.0,,,1316880,HIP7080
HIP   7091,17AJ....153...7521K,1.0,54358.652,D,D,v  ,32.61,2.0,,,3196805,HIP7091
HIP   7091,2006AstL...32..759G,,,,B,V  ,37.3,2.0,,,3196805,HIP7091
HIP   7091,2004A&A...418..989N,2.0,,,B,v  ,37.099998474121094,1.0,,,3196805,HIP7091
HIP   7162,2004A&A...418..989N,5.0,,,A,v  ,-96.80000305175781,1.0,,,1228325,HIP7162
HIP   7162,2007A&A...475..519H,,,,A,V  ,-96.8,2.0,,,1228325,HIP7162
HIP   7276,2015A&A...574A..50J,,,A,,V  ,-14.95,2.0,,,1347088,HIP7276
HIP   7276,2014MNRAS.444.3517M,,,D,,V  ,-14.8,1.0,,,1347088,HIP7276
HIP   7276,2005PASJ...57...13T,,,,,v  ,-14.6,1.0,,,1347088,HIP7276
